id,name,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Vehicles,3700388.00,4844697.00,3508760.00,10705540.00,9918601.00,61780087.92,193371974.38,248998140.74,162537140.15
1,Construction Equipment,,,,,0.00,98608.68,21794050.69,15052167.84,7149791.54
2,Aircraft,15578520.00,5034325.00,35545148.00,25972637.48,56997273.65,154553074.10,17150926.02,25960907.48,6544314.82
3,Communications & Detection,1968554.45,3727751.21,8936260.50,10766073.12,16254533.26,45983017.87,40705359.32,47868733.70,6150886.80
4,Medical Equipment,,,,38326.86,2071.42,2956.95,21302635.25,11224050.84,5504035.33
5,Clothing,,,,1841937.91,1399270.94,1342676.61,23676064.70,18893935.80,5273197.06
6,Electric Wire,,,,200532.64,71114.35,711638.75,20786826.70,12378304.49,4595442.17
7,Tractors,,,,,166000.00,287204.75,11604182.66,16611740.85,4498243.82
8,Fire Control Equpiment,18436.67,,1261.00,3949003.74,3407886.05,15328963.30,6145936.98,9292355.98,3458397.63
9,Weapons,12688832.36,2749432.41,3845767.03,1724497.97,1835481.26,3157990.84,7004423.99,6443196.48,828302.53