ALACHUA,"1,300","1,000",77%,"4,880","2,942",60%,,,,,,,,,,"23,226","16,863",73%,"100,626","13,191",13%,"33,996","130,032",74%,26%
BAKER,"5,400","2,130",39%,,,,,,,,,,,,,"5,963","4,216",71%,,,,"6,346","11,363",44%,56%
BAY,,,,"2,273","1,173",52%,"101,709",0,0%,,,,,,,"11,647",0,0%,,,,"1,173","115,629",99%,1%
BRADFORD,"4,100","2,800",68%,,,,,,,,,,,,,"5,864","3,371",57%,"2,685","2,685",100%,"8,856","12,649",30%,70%
BREVARD,"307,600","185,610",60%,16,8,50%,,,,,,,,,,"3,028",51,2%,,,,"185,669","310,644",40%,60%
BROWARD,"933,300","455,800",49%,,,,,,,,,,,,,54,54,100%,,,,"455,854","933,354",51%,49%
CALHOUN,,,,,,,,,,,,,925,0,0%,"1,697",0,0%,"1,314",0,0%,0,"3,936",100%,0%
CHARLOTTE,"114,100","41,510",36%,,,,,,,,,,,,,858,858,100%,,,,"42,368","114,958",63%,37%
CITRUS,,,,"46,697","33,192",71%,,,,,,,,,,"41,017","24,451",60%,,,,"57,643","87,714",34%,66%
CLAY,900,190,21%,,,,,,,,,,,,,"80,056","32,402",40%,"13,883","5,079",37%,"37,671","94,839",60%,40%
COLLIER,"210,700","182,120",86%,,,,,,,,,,,,,"35,211","35,211",100%,,,,"217,331","245,911",12%,88%
COLUMBIA,"14,000","7,590",54%,566,306,54%,,,,,,,,,,"18,797","12,464",66%,,,,"20,360","33,363",39%,61%
DESOTO,"16,600","9,690",58%,,,,,,,,,,,,,965,589,61%,,,,"10,279","17,565",41%,59%
DIXIE,,,,"1,800",999,56%,,,,,,,,,,"8,217","4,549",55%,,,,"5,548","10,017",45%,55%
DUVAL,10,10,100%,,,,,,,,,,,,,17,4,24%,"449,815","143,488",32%,"143,502","449,842",68%,32%
ESCAMBIA,,,,,,,"152,699",0,0%,,,,,,,"3,437",0,0%,,,,0,"156,136",100%,0%
FLAGLER,"58,000","38,110",66%,16,13,81%,,,,,,,,,,3,3,100%,,,,"38,126","58,019",34%,66%
FRANKLIN,,,,"10,202","5,457",53%,,,,,,,,,,,,,,,,"5,457","10,202",47%,53%
GADSDEN,,,,,,,,,,,,,,,,"14,972","5,955",40%,"7,322",0,0%,"5,955","22,294",73%,27%
GILCHRIST,,,,"1,637",885,54%,,,,,,,,,,"7,263","3,781",52%,,,,"4,666","8,900",48%,52%
GLADES,"3,400","2,420",71%,,,,,,,,,,,,,"2,942","2,650",90%,912,912,100%,"5,982","7,254",18%,82%
GULF,,,,"6,470","3,404",53%,,,,,,,,,,"4,439",0,0%,,,,"3,404","10,909",69%,31%
HAMILTON,,,,"2,927","1,628",56%,,,,,,,,,,"3,785","2,728",72%,,,,"4,356","6,712",35%,65%
HARDEE,40,20,50%,"2,671","2,661",100%,,,,,,,,,,"6,846","3,695",54%,"2,734","2,734",100%,"9,110","12,291",26%,74%
HENDRY,"9,700","8,240",85%,,,,,,,,,,,,,"4,778","4,778",100%,"4,272","1,281",30%,"14,299","18,750",24%,76%
HERNANDO,,,,"11,341","8,175",72%,,,,,,,,,,"83,599","29,888",36%,,,,"38,063","94,940",60%,40%
HIGHLANDS,600,80,13%,"54,209","53,880",99%,,,,,,,,,,"7,647","7,586",99%,,,,"61,546","62,456",1%,99%
HILLSBOROUGH,,,,25,19,76%,,,,"631,780","218,164",35%,,,,"1,148",363,32%,,,,"218,546","632,953",65%,35%
HOLMES,,,,,,,"2,581",0,0%,,,,,,,"7,842",0,0%,,,,0,"10,423",100%,0%
INDIAN RIVER,"56,300","28,300",50%,,,,,,,,,,,,,215,204,95%,"35,030","3,014",9%,"31,518","91,545",66%,34%
JACKSON,,,,,,,"1,398",0,0%,,,,"10,884",143,1%,"13,879",0,0%,,,,143,"26,161",99%,1%
JEFFERSON,,,,"4,639","2,513",54%,,,,,,,,,,"3,474","2,966",85%,,,,"5,479","8,113",32%,68%
LAFAYETTE,,,,845,462,55%,,,,,,,,,,"3,200","2,885",90%,,,,"3,347","4,045",17%,83%
LAKE,,,,"84,056","55,606",66%,,,,,,,,,,"66,105","32,809",50%,"27,706","12,269",44%,"100,684","177,867",43%,57%
LEE,"259,900","187,660",72%,,,,,,,,,,,,,"179,084","135,029",75%,,,,"322,689","438,984",26%,74%
LEON,,,,61,32,52%,,,,,,,,,,"26,491","5,563",21%,"117,253","3,967",3%,"9,562","143,805",93%,7%
LEVY,,,,"3,702","2,388",65%,,,,,,,,,,"19,546","9,918",51%,"1,462","1,462",100%,"13,768","24,710",44%,56%
LIBERTY,,,,,,,,,,,,,769,0,0%,"3,289",57,2%,,,,57,"4,058",99%,1%
MADISON,,,,"3,811","2,120",56%,,,,,,,,,,"6,897","3,684",53%,,,,"5,804","10,708",46%,54%
MANATEE,"184,900","72,260",39%,,,,,,,,,,,,,"24,857","4,829",19%,,,,"77,089","209,757",63%,37%
MARION,,,,"65,525","54,641",83%,,,,,,,,,,"73,611","37,987",52%,"49,955","28,999",58%,"121,627","189,091",36%,64%
MARTIN,"93,400","50,330",54%,,,,,,,,,,,,,,,,,,,"50,330","93,400",46%,54%
MIAMI-DADE,"1,114,000","641,460",58%,,,,,,,,,,,,,,,,"23,086","16,800",73%,"658,260","1,137,086",42%,58%
MONROE,90,90,100%,,,,,,,,,,,,,"32,500","21,666",67%,"31,183","31,183",100%,"52,939","63,773",17%,83%
NASSAU,"21,800","11,590",53%,,,,,,,,,,"16,076","10,880",68%,"6,920","6,165",89%,,,,"28,635","44,796",36%,64%
OKALOOSA,,,,,,,"92,602",0,0%,,,,,,,"15,809",0,0%,,,,0,"108,411",100%,0%
OKEECHOBEE,"20,000","13,040",65%,,,,,,,,,,,,,"2,790","2,790",100%,,,,"15,830","22,790",31%,69%
ORANGE,10,10,100%,"369,171","205,516",56%,,,,,,,,,,,,,"211,091","73,094",35%,"278,620","580,272",52%,48%
OSCEOLA,10,10,100%,"48,065","21,890",46%,,,,,,,,,,914,886,97%,"103,742","14,262",14%,"37,048","152,731",76%,24%
PALM BEACH,"739,000","363,770",49%,,,,,,,,,,,,,,,,"27,847","24,510",88%,"388,280","766,847",49%,51%
PASCO,,,,"139,992","100,563",72%,,,,"23,836","12,826",54%,,,,"106,267","27,716",26%,,,,"141,105","270,095",48%,52%
PINELLAS,,,,"540,933","422,990",78%,,,,"10,984",895,8%,,,,,,,,,,"423,885","551,917",23%,77%
POLK,,,,"100,519","65,563",65%,,,,"85,282","37,578",44%,,,,"5,797","5,410",93%,"139,134","59,224",43%,"167,775","330,732",49%,51%
PUTNAM,"20,100","15,780",79%,,,,,,,,,,,,,"21,166","17,206",81%,,,,"32,986","41,266",20%,80%
SANTA ROSA,,,,,,,"68,697",0,0%,,,,,,,"7,559",0,0%,,,,0,"76,256",100%,0%
SARASOTA,"263,800","114,670",43%,,,,,,,,,,,,,35,0,0%,,,,"114,670","263,835",57%,43%
SEMINOLE,"54,400","23,650",43%,"156,103","113,792",73%,,,,,,,,,,,,,,,,"137,442","210,503",35%,65%
ST. JOHNS,"86,800","46,060",53%,,,,,,,,,,,,,,,,"43,969","6,571",15%,"52,631","130,769",60%,40%
ST. LUCIE,"126,200","46,730",37%,,,,,,,,,,,,,,,,"27,630","14,809",54%,"61,539","153,830",60%,40%
SUMTER,,,,"10,171","8,846",87%,,,,,,,,,,"61,939","14,555",23%,"1,500",12,1%,"23,413","73,610",68%,32%
SUWANNEE,"5,100","4,550",89%,797,440,55%,,,,,,,,,,"16,860","11,759",70%,,,,"16,749","22,757",26%,74%
TAYLOR,,,,"6,026","3,299",55%,,,,,,,,,,"6,890","3,783",55%,,,,"7,082","12,916",45%,55%
UNION,"1,700","1,080",64%,,,,,,,,,,,,,"3,738","3,112",83%,,,,"4,192","5,438",23%,77%
VOLUSIA,"176,800","97,030",55%,"81,055","66,727",82%,,,,,,,,,,"2,151","2,075",96%,"26,539","26,539",100%,"192,371","286,545",33%,67%
WAKULLA,,,,"6,814","3,618",53%,,,,,,,,,,"8,657","1,134",13%,,,,"4,752","15,471",69%,31%
WALTON,,,,,,,"23,143",0,0%,,,,,,,"36,333",0,0%,,,,0,"59,476",100%,0%
WASHINGTON,,,,,,,"6,481",0,0%,,,,,,,"6,609",0,0%,,,,0,"13,090",100%,0%
