city,state,lat,lon
Elkhart,IN,41.682,-85.9767
Fargo,ND,85.9767,-96.7898
Great Falls,MT,47.5053,-111.3008
Wilkes-Barre,PA,41.2459,-75.8813
Charleston,WV,38.3498,-81.6326
Evansville,IN,37.9716,-87.5711
Billings,MT,45.7833,-108.5007
Las Vegas,NV,36.1699,-115.1398
Springfield,MO,37.209,-93.2923
Wheeling,WV,40.064,-80.7209
Johnson City,TN,36.3134,-82.3535
Southaven,MS,34.9919,-90.0023
Rochester,MN,44.0121,-92.4802
Topeka,KS,39.0473,-95.6752
Council Bluffs,IA,41.2619,-95.8608
Erie,PA,42.1292,-80.0851
Lebanon,OH,39.4353,-84.203
Richmond,KY,37.7479,-84.2947
Missoula,MT,46.8721,-113.994
Mesa,AZ,33.4152,-111.8315
Elko,NV,40.8324,-115.7631
Houston,TX,29.7604,-95.3698
Mosinee,WI,44.793,-89.7032